company_name,_name_key,country,region_bucket,revenue_eur_latest,ebitda_eur_latest,revenue_year,employees,industry_code,ownership_status,inactive,business_model_tags,source,stage_status
RISER ID SERVICES GMBH,riser id services gmbh,DE,DACH,32506585.71,4107248.5100000002,2024,23,6209,Private,False,,Orbis,raw
ABAKION A/S,abakion a s,DK,Denmark,29486394.500102498,2049296.64562573,2025,178,6202,Private,False,,Orbis,raw
N+P INFORMATIONSSYSTEME GMBH,n p informationssysteme gmbh,DE,DACH,28711513.99,2004908.17,2025,189,6202,Private,False,,Orbis,raw
NETCOMPANY SA,netcompany sa,BE,Benelux,32288896.0,1462001.0,2024,324,6201,Private,False,,Orbis,raw
XYLOS,xylos,BE,Benelux,32273330.0,1119907.0,2024,127,6201,Private,False,,Orbis,raw
CONSIST SOFTWARE SOLUTIONS GMBH,consist software solutions gmbh,DE,DACH,32059135.78,3384743.05,2024,214,6201,Private,False,,Orbis,raw
HMS INDUSTRIAL NETWORKS,hms industrial networks,BE,Benelux,31865125.0,8351806.000000001,2024,74,2630,Private,False,,Orbis,raw
MICROVISION GMBH,microvision gmbh,DE,DACH,31813797.05,2977584.25,2024,166,6201,Private,False,,Orbis,raw
CIRCULAR INFORMATIONSSYSTEME GMBH,circular informationssysteme gmbh,DE,DACH,31798740.549999997,2149797.0999999996,2024,49,6209,Private,False,,Orbis,raw
NTX,ntx,BE,Benelux,31750970.0,2774105.0,2024,92,6202,Private,False,,Orbis,raw
AVIRA OPERATIONS GMBH,avira operations gmbh,DE,DACH,31750722.0,2234916.0,2024,130,6201,Private,False,,Orbis,raw
NEORIA,neoria,BE,Benelux,31542344.0,2443312.0,2024,19,6202,Private,False,,Orbis,raw
"OTT HYDROMET GMBH, ZWEIGNIEDERLASSUNG OESTERREICH",ott hydromet gmbh zweigniederlassung oesterreich,AT,DACH,29641529.25,4118345.15,2023,n.v.,6209,Private,False,,Orbis,raw
CEPHEID BENELUX,cepheid benelux,BE,Benelux,31509646.0,2529645.0,2024,13,2630,Private,False,,Orbis,raw
VIMCAR GMBH,vimcar gmbh,DE,DACH,29571914.27,5212892.8100000005,2023,184,6201,Private,False,,Orbis,raw
ENERGY4U GMBH,energy4u gmbh,DE,DACH,29571094.26,3492241.0300000003,2023,173,6202,Private,False,,Orbis,raw
GOVERNIKUS GMBH & CO. KG,governikus gmbh co kg,DE,DACH,31430005.01,1480574.42,2024,251,6201,Private,False,,Orbis,raw
SAMHAMMER AG,samhammer ag,DE,DACH,31337667.849,2438892.9,2024,528,6201,Private,False,,Orbis,raw
BOERSE STUTTGART DIGITAL BROKER GMBH,boerse stuttgart digital broker gmbh,DE,DACH,31252000.91,10710516.05,2024,59,6201,Private,False,,Orbis,raw
BDOT BLUE INFRASTRUCTURE (GERMANY) GMBH,bdot blue infrastructure germany gmbh,DE,DACH,31244618.65,12021609.76,2024,n.v.,6209,Private,False,,Orbis,raw
JTL-SOFTWARE-GMBH,jtl software gmbh,DE,DACH,29170590.990000002,11733023.41,2023,206,6201,Private,False,,Orbis,raw
HAIILO GMBH,haiilo gmbh,DE,DACH,30932929.39,1746560.6199999999,2024,123,6201,Private,False,,Orbis,raw
DRESDEN-IT GMBH,dresden it gmbh,DE,DACH,30346494.14,2315072.7600000002,2024,122,6209,Private,False,,Orbis,raw
WAVE,wave,BE,Benelux,30303984.0,11816720.0,2024,n.v.,6202,Private,False,,Orbis,raw
AXWAY GMBH,axway gmbh,DE,DACH,30199026.580000002,2251248.2890000003,2024,21,6201,Private,False,,Orbis,raw
HMMH MULTIMEDIAHAUS AG,hmmh multimediahaus ag,DE,DACH,29282185.119999997,2423657.9299999997,2024,265,6201,Private,False,,Orbis,raw
TIPICO TECHNOLOGY SERVICES GMBH,tipico technology services gmbh,DE,DACH,30169129.36,4280319.16,2024,175,6201,Private,False,,Orbis,raw
PROXIMEDIA,proximedia,BE,Benelux,30148685.0,5626697.0,2024,187,4666,Private,False,,Orbis,raw
COCONET AG,coconet ag,DE,DACH,30081113.05,7717587.29,2024,176,6201,Private,False,,Orbis,raw
APA-IT INFORMATIONS TECHNOLOGIE GMBH,apa it informations technologie gmbh,AT,DACH,30001400.71,3007152.18,2024,132,6209,Private,False,,Orbis,raw
RSU GMBH & CO. KG,rsu gmbh co kg,DE,DACH,29951891.47,3974938.95,2024,126,6201,Private,False,,Orbis,raw
PLENUM AG,plenum ag,DE,DACH,29787000.0,3090000.0,2024,168,6209,Public,False,,Orbis,raw
UBER DENMARK SOFTWARE AND DEVELOPMENT APS,uber denmark software and development aps,DK,Denmark,29703984.8211188,2263246.7361867004,2024,130,6201,Private,False,,Orbis,raw
IVU INFORMATIONSSYSTEME GMBH,ivu informationssysteme gmbh,DE,DACH,29603573.53,4209852.9399999995,2024,111,6201,Private,False,,Orbis,raw
OPENWAY EUROPE,openway europe,BE,Benelux,29286956.0,1051339.0,2024,41,6201,Private,False,,Orbis,raw
SOA PEOPLE A/S,soa people a s,DK,Denmark,29195276.489525698,2913450.10040825,2024,103,6202,Private,False,,Orbis,raw
NORDCLOUD DEUTSCHLAND GMBH,nordcloud deutschland gmbh,DE,DACH,29182816.53,2172686.9499999997,2024,138,6209,Private,False,,Orbis,raw
ALL FOR ONE PUBLICCLOUDERP GMBH,all for one publicclouderp gmbh,DE,DACH,25756540.71,1706038.81,2025,98,6202,Private,False,,Orbis,raw
ARKANCE SYSTEMS BENELUX,arkance systems benelux,BE,Benelux,28996048.0,2194564.0,2024,51,6201,Private,False,,Orbis,raw
PERBILITY GMBH,perbility gmbh,DE,DACH,28940560.900000002,9003810.35,2024,8,6202,Private,False,,Orbis,raw
LACROIX SAE GMBH & CO. KG,lacroix sae gmbh co kg,DE,DACH,28919279.58,3058874.77,2024,117,6201,Private,False,,Orbis,raw
EMPOLIS INFORMATION MANAGEMENT GMBH,empolis information management gmbh,DE,DACH,27756530.650000002,7323896.069999999,2024,166,6201,Private,False,,Orbis,raw
MAINSYS GROUP,mainsys group,BE,Benelux,28859809.0,2684973.0,2024,169,6202,Private,False,,Orbis,raw
"UKSH GESELLSCHAFT FUER INFORMATIONSTECHNOLOGIE MBH (""GFIT"")",uksh gesellschaft fuer informationstechnologie mbh gfit,DE,DACH,28859426.830000002,1288306.11,2024,3,6209,Private,False,,Orbis,raw
R2P GMBH,r2p gmbh,DE,DACH,27114048.53,3266808.43,2023,70,6201,Private,False,,Orbis,raw
